site,site.type,state,initial ,date,time,lat,long,elevation,temp,do (%),do (mg/l),spc,ph,phosphate,sulfate,ammonia ,nitrate,npoc,tn,umolC/L,cells/ml,STD dev,avg cells,total cells
clinton city park,river,tn,l,6/15/16,9:07,36.094731,-84.132887,253,13.1,83.8,8.8,287.2,7.48,0.29,14,0.09,0.28,2.017,0.404,8.89092423,2.47E+21,2.48E+01,6.44E+01,644
clinch river,river,tn,m,6/15/16,9:29,35.9961,-84.192927,242,29.2,108.5,8.31,284.4,8.19,0.06,5,0.06,0.02,2.514,0.2632,8.539550375,5.70E+21,5.71E+01,1.49E+02,1487
cove lake,lake,tn,n,6/16/16,9:20,36.307889,-84.217028,371,26.8,47.7,3.81,233.8,6.99,0.13,11,0.06,0,1.478,0.4887,13.45711907,9.37E+21,2.91E+01,2.45E+02,2445
norris dam,river,tn,o,6/16/16,9:49,36.22588,-84.096823,294,28,95.5,7.47,271.2,8.23,0.1,7,0.03,0.06,1.424,0.6689,10.16208715,7.46E+20,2.24E+01,1.95E+01,428
volunteer landing,river,tn,p,6/17/16,9:53,35.573318,-83.545651,252,20.9,90.1,8.05,180.3,7.37,0.22,5,0.01,0.31,1.363,1.656,11.14293644,5.41E+20,1.14E+01,1.41E+01,452
second creek,creek,tn,q,6/17/16,9:39,35.958208,-83.923708,254,21.3,83.6,7.4,7.76,7.76,0.18,4,0.03,0.02,1.774,0.2632,9.67749098,8.92E+20,3.07E+01,2.33E+01,605
anchor down,lake,tn,r,6/20/16,9:12,35.968676,-83.519807,303,26.9,96.9,7.73,150.3,8.88,0.29,5,0,0,1.416,0.6111,15.42714405,7.95E+20,1.76E+01,2.08E+01,581
douglas dam,river,tn,s,6/20/16,9:29,35.958509,-83.547082,266,15.4,38.4,3.84,148.7,6.87,0.06,2,0,0.23,2.553,0.5087,16.38856508,8.95E+20,2.96E+01,2.34E+01,584
chilowee park,pond,pa,t,6/21/16,10:07,35.999391,-83.884417,277,27,150.6,11.98,447.1,7.39,0.05,8,0.11,0.02,1.668,0.9835,60.67110741,1.44E+21,2.01E+01,3.75E+01,787
holston hills park,river,tn,u,6/21/16,10:23,35.977879,-83.859545,252,20,94.4,8.57,308.4,7.96,0.11,4,0,0.2,1.484,0.2632,11.43547044,1.03E+21,2.63E+01,2.70E+01,648
fort dickerson,quarry,tn,v,6/24/16,10:46,35.94283,-83.917428,255,28.6,99.7,7.72,319.1,8.13,0.11,20,0,0,3.266,0.2632,41.43824591,2.20E+21,6.27E+01,5.74E+01,918
ut med pond,pond,tn,w,6/24/16,11:18,35.938414,-83.944724,258,28.8,81.7,6.3,479.6,7.94,0.13,0,0.02,0,2.057,0.5139,18.51457119,1.93E+21,7.61E+01,5.05E+01,1211
cherokee reservoir,lake,tn,x,7/6/16,9:19,36.130434,-83.5064,318,26.2,100.8,8.15,290.6,8.15,0.47,0,0.02,0.08,0.9283,2.431,21.04412989,,2.31E+01,2.50E+01,624
mossy spring,creek,tn,y,7/6/16,9:37,36.122719,-83.480731,328,15.9,77.7,7.67,547,7.16,0.12,3,0.05,0.26,1.585,0.2632,22.99361643,2.15E+21,6.84E+01,5.60E+01,952
little river,river,tn,z,7/7/16,9:04,35.660087,-83.702271,438,21.8,95.6,8.39,18.7,7.14,0.21,0,0.02,0.04,1.362,0.2632,17.45045795,1.03E+21,3.64E+01,2.69E+01,996
